id,parent_id,contextFreeName,currentLevel,productsCount
7529576011,7529231011,TestNode,2,1614
21364107011,21165462011,Kindle Vella: Thriller,2,811
21364099011,21165462011,Kindle Vella: Historical Fiction,2,398
21364105011,21165462011,Kindle Vella: Science Fiction,2,949
21364109011,21165462011,Kindle Vella: Paranormal,2,1031
21388294011,21165462011,Kindle Vella: Children's Stories,2,122
21364100011,21165462011,Kindle Vella: Humor,2,544
21364104011,21165462011,Kindle Vella: Romance,2,1709
21364102011,21165462011,Kindle Vella: Mystery,2,721
21364098011,21165462011,Kindle Vella: Fantasy,2,1465
21364106011,21165462011,Kindle Vella: Teen & Young Adult,2,969
21364103011,21165462011,Kindle Vella: Non-Fiction,2,483
21364097011,21165462011,Kindle Vella: Dystopian,2,362
21364101011,21165462011,"Kindle Vella: Lesbian, Gay, Bisexual & Transgender Fiction",2,242
21364108011,21165462011,Kindle Vella: Erotica,2,520
21364096011,21165462011,Kindle Vella: Action & Adventure,2,1339
2399046011,165389011,South American Newspapers,2,2
2399044011,165389011,European Newspapers,2,10
2399045011,165389011,North American Newspapers,2,30
2399043011,165389011,Asian Newspapers,2,4
330600011,165389011,International Newspapers,2,2
157305011,154606011,"Mystery, Thriller & Suspense",2,480
158280011,154606011,Religion & Spirituality,2,39318
154607011,154606011,Arts & Photography,2,883
156116011,154606011,Computers & Technology,2,9779
156563011,154606011,Self-Help,2,107009
157028011,154606011,Literature & Fiction,2,238767
156430011,154606011,"Health, Fitness & Dieting",2,107384
157119011,154606011,Medical eBooks,2,21282
158125011,154606011,Education & Teaching,2,20583
305951011,154606011,Politics & Social Sciences,2,7662
154754011,154606011,Biographies & Memoirs,2,67005
156699011,154606011,"Crafts, Hobbies & Home",2,7714
156104011,154606011,"Comics, Manga & Graphic Novels",2,33531
9154158011,154606011,Reference eBooks,2,51366
154821011,154606011,Business & Investing,2,57408
3511261011,154606011,Teen & Young Adult eBooks,2,67694
155009011,154606011,Children's eBooks,2,42386
156576011,154606011,History,2,143113
157626011,154606011,Engineering & Transportation,2,57
157584011,154606011,Parenting & Relationships,2,39601
158597011,154606011,Science & Math,2,29345
159936011,154606011,Travel,2,22745
157325011,154606011,Nonfiction,2,222523
156279011,154606011,Humor & Entertainment,2,551
7735160011,154606011,Foreign Language eBooks,2,3365
158566011,154606011,Romance,2,117910
156915011,154606011,Law,2,21520
156424011,154606011,LGBTQ+ eBooks,2,79
668010011,154606011,Science Fiction & Fantasy,2,388
159818011,154606011,Sports & Outdoors,2,10717
156154011,154606011,"Cookbooks, Food & Wine",2,21931
2460165011,241646011,Technology eMagazines,2,73
16015313011,241646011,"Literary, Sci-Fi & Mystery eMagazines",2,80
16015307011,241646011,Home & Garden eMagazines,2,141
16015303011,241646011,Craft & Hobby eMagazines,2,171
16015311011,241646011,Professional & Educational Journals eMagazines,2,86
