id,parent_id,contextFreeName,currentLevel,productsCount
133140011,0,Kindle Store,0,6717353
9013971011,0,Video Shorts,0,199436
2350149011,0,Apps & Games,0,744639
165796011,0,Baby Products,0,2875560
163856011,0,Digital Music,0,43957262
13727921011,0,Alexa Skills,0,94799
165793011,0,Toys & Games,0,7914096
2972638011,0,"Patio, Lawn & Garden",0,12200505
283155,0,Books,0,87057638
2617941011,0,"Arts, Crafts & Sewing",0,11240450
229534,0,Software,0,179148
3375251,0,Sports & Outdoors,0,30089019
468642,0,Video Games,0,1002466
11260432011,0,Handmade Products,0,2235512
7141123011,0,"Clothing, Shoes & Jewelry",0,154647576
1064954,0,Office Products,0,9660023
16310101,0,Grocery & Gourmet Food,0,3309057
228013,0,Tools & Home Improvement,0,23902677
2625373011,0,Movies & TV,0,5409439
11091801,0,Musical Instruments,0,1812016
4991425011,0,Collectibles & Fine Art,0,7328347
2619525011,0,Appliances,0,900799
2619533011,0,Pet Supplies,0,5575010
2335752011,0,Cell Phones & Accessories,0,16856025
16310091,0,Industrial & Scientific,0,13528185
10272111,0,Everything Else Store,0,11110412
5174,0,CDs & Vinyl,0,7973726
3760911,0,Beauty & Personal Care,0,9691608
1055398,0,Home & Kitchen,0,99897079
172282,0,Electronics,0,17413001
15684181,0,Automotive,0,27623753
599858,0,Magazine Subscriptions,0,41786
3760901,0,Health & Household,0,8616141
10677469011,0,Vehicles,0,364807
18145289011,0,Audible Books & Originals,0,600135
