id,parent_id,contextFreeName,currentLevel,productsCount
2363208011,2399046011,Argentinian Newspapers,3,1
2239730011,2399046011,Peruvian Newspapers,3,0
2232105011,2399046011,Brazilian Newspapers,3,0
2239731011,2399046011,Chilean Newspapers,3,0
2325180011,2399046011,Colombian Newspapers,3,0
251294011,2399044011,United Kingdom Newspapers,3,10
251298011,2399044011,German Newspapers,3,5
2237318011,2399044011,Czech Newspapers,3,0
251296011,2399044011,Italian Newspapers,3,1
2244379011,2399044011,Portuguese Newspapers,3,1
251297011,2399044011,French Newspapers,3,2
251299011,2399044011,Spanish Newspapers,3,6
251295011,2399044011,Irish Newspapers,3,1
2237604011,2399045011,Canadian Newspapers,3,12
2232107011,2399045011,Mexican Newspapers,3,2
251293011,2399045011,U.S. Newspapers,3,73
2232106011,2399043011,Japanese Newspapers,3,2
634370011,2399043011,Chinese Newspapers,3,2
2239732011,2399043011,United Arab Emirates Newspapers,3,0
2239728011,2399043011,Russian Newspapers,3,1
2237319011,2399043011,Indian Newspapers,3,4
157323011,157305011,Suspense,3,96658
157319011,157305011,Thrillers,3,55851
157307011,157305011,Mysteries,3,76365
6361460011,157305011,Crime Fiction,3,61475
158541011,158280011,Religious Studies & Reference,3,121
158479011,158280011,New Age Religion & Spirituality,3,8497
158443011,158280011,Islam,3,7665
158554011,158280011,Atheism,3,2884
158532011,158280011,"Other Religions, Practices & Sacred Texts",3,3844
158552011,158280011,Agnosticism,3,1657
158442011,158280011,Hinduism,3,5169
158454011,158280011,Judaism,3,4576
158287011,158280011,Buddhism,3,5977
8917454011,158280011,Earth-Based Religions,3,1096
158551011,158280011,Spirituality,3,28817
158503011,158280011,Occult,3,59535
158296011,158280011,Christian eBooks & Bibles,3,17269
158520011,158280011,Other Eastern Religions & Sacred Texts,3,1742
154692011,154607011,Dance,3,1272
154704011,154607011,Theater,3,37609
154657011,154607011,Graphic Design,3,24
154655011,154607011,Individual Artists,3,8033
156302011,154607011,Music eBooks,3,54906
154715011,154607011,Photography,3,14234
154691011,154607011,Performing Arts,3,25770
154656011,154607011,Fashion & Art,3,5088
154608011,154607011,Art,3,29515
157630011,154607011,Architecture,3,8822
156124011,156116011,Computer Hardware,3,5576
156136011,156116011,Computer Operating Systems,3,1502
156140011,156116011,Computer Programming,3,3143
156132011,156116011,Computer Networking,3,576
16977145011,156116011,Business,3,185
16977195011,156116011,Digital Media,3,3647
16977169011,156116011,Computer Science,3,17715
16977221011,156116011,Interactive & Multimedia Technology,3,4398
156147011,156116011,Computer Software,3,871
156121011,156116011,Computer Graphic Design,3,16178
16232536011,156116011,Tech Culture & Computer Literacy,3,1952
16232546011,156116011,Web Development,3,199
16977150011,156116011,"Certification, Training & Reference",3,3069
16977190011,156116011,Computerized Home & Entertainment,3,1329
16977290011,156116011,Security & Encryption,3,6349
18623128011,156116011,Embedded Computer Systems,3,23
156117011,156116011,Computer Databases,3,5187
11650899011,156563011,Journaling,3,1390
156573011,156563011,Spiritual Self-Help,3,32869
156569011,156563011,Memory Improvement,3,3955
156570011,156563011,Motivational Self-Help,3,79672
156566011,156563011,Happiness,3,28658
156574011,156563011,Stress Management,3,12310
156572011,156563011,Self-Esteem Self-Help,3,32248
156568011,156563011,Journal Writing,3,933
10668115011,156563011,Eating Disorders & Body Image Self-Help,3,3932
156564011,156563011,Creativity Self-Help,3,13517
156567011,156563011,Inner Child,3,1312
156571011,156563011,Personal Transformation,3,39349
6190492011,157028011,Women's Fiction,3,5635
157052011,157028011,Contemporary Fiction,3,15736
157060011,157028011,Horror,3,78774
7588760011,157028011,Foreign Language Fiction,3,1478
157107011,157028011,American Literature,3,16020
157037011,157028011,Literary Criticism,3,21170
157053011,157028011,Literary Fiction,3,81027
157057011,157028011,Erotica,3,182544
157051011,157028011,Humor & Satire Fiction,3,471
157087011,157028011,Short Stories,3,571
7588757011,157028011,Essays & Correspondence,3,107
157078011,157028011,Poetry,3,90015
157050011,157028011,Fiction Classics,3,154767
157038011,157028011,Drama & Plays,3,24720
157054011,157028011,Genre Fiction,3,1403
7588742011,157028011,Literary Anthologies & Collections,3,37528
158434011,157028011,Religious & Inspirational Fiction,3,19411
157097011,157028011,Mythology & Folk Tales,3,72759
157055011,157028011,Action & Adventure Fiction,3,212225
157059011,157028011,Historical Fiction,3,85029
14530449011,157028011,Small Town & Rural Fiction,3,11122
16232447011,157028011,Animal Fiction,3,2036
157088011,157028011,World Literature,3,761
18623138011,157028011,Adaptations & Pastiche Fiction,3,937
14530448011,157028011,Absurdist Fiction,3,736
156481011,156430011,Exercise & Fitness,3,15254
156497011,156430011,Nutrition,3,20028
156451011,156430011,Diets & Weight Loss,3,218
156443011,156430011,"Beauty, Grooming, & Style",3,16987
156431011,156430011,Alternative Medicine,3,6975
156575011,156430011,Sexuality,3,18434
156555011,156430011,Health Reference,3,3834
156448011,156430011,Death & Grief,3,15655
156562011,156430011,Safety & First Aid,3,3833
156548011,156430011,Addiction & Recovery,3,131
11717492011,156430011,Sports Health & Safety,3,1810
156501011,156430011,Personal Health,3,9332
156462011,156430011,Diseases & Physical Ailments,3,5813
11717493011,156430011,Teen Health,3,822
156512011,156430011,Counseling & Psychology,3,28082
156556011,156430011,Healthy Relationships,3,6529
157182011,157119011,Internal Medicine,3,2973
157178011,157119011,Medical Education & Training,3,7389
157162011,157119011,Dentistry,3,2445
157208011,157119011,Nursing,3,3224
157142011,157119011,Alternative & Holistic Medicine,3,8701
157130011,157119011,Allied Health Professions,3,2743
157152011,157119011,Basic Medical Science,3,32
157120011,157119011,Medical Administration & Policy,3,2254
157265011,157119011,Medical Specialties,3,35
157233011,157119011,Pharmacology,3,5481
18623139011,157119011,Environmental Health,3,70
18623147011,157119011,Military Medicine,3,31
157258011,157119011,Special Topics in Medicine,3,67
157254011,157119011,Reproductive Medicine & Technology,3,1296
157238011,157119011,Physician & Patient,3,1340
157248011,157119011,Medical Reference,3,2624
18623140011,157119011,Medical Informatics,3,26
157300011,157119011,Veterinary Medicine,3,2255
157255011,157119011,Medical Research,3,10738
157169011,157119011,Medical Diseases,3,6602
158240011,158125011,Test Preparation,3,16764
157364011,158125011,Schools & Teaching,3,101321
157366011,158125011,College & University Education,3,18383
9154414011,158125011,Childhood Education & Reference,3,108
6446437011,158125011,Studying & Workbooks,3,16033
157417011,305951011,Politics & Government,3,84
157343011,305951011,Crime & Criminals,3,74
157559011,305951011,Women's Studies,3,13097
157488011,305951011,Social Sciences,3,52984
157430011,305951011,Philosophy,3,48244
154806011,154754011,Biography Reference & Collections,3,2063
154820011,154754011,Travel Biographies & Memoirs,3,15374
154786011,154754011,Biographies about Notable People,3,146
154794011,154754011,Professional & Academic Biographies,3,97
154819011,154754011,Biographies & Memoirs of Women,3,29850
